quote	3
originally	3
posted	3
by	4
nergal442	1
our	4
christian	5
heritage	3
my	2
apologies	1
but	2
the	8
white	3
race	1
existed	1
and	3
flourished	1
before	2
obsession	1
with	3
that	5
religion	1
why	2
can	1
t	3
cross	2
be	1
a	5
celtic	1
not	2
all	1
nationalists	1
are	2
christians	1
panzerkrieg	1
you	1
very	1
talented	1
i	11
admire	1
your	2
work	1
personally	1
cannot	1
fly	2
flag	3
has	1
any	1
representation	1
of	4
lett	1
won	1
represents	1
while	1
understand	1
guys	1
sentiments	1
as	1
am	1
far	1
from	3
myself	1
d	1
like	2
to	7
share	2
thoughts	1
christianity	4
through	2
crusades	1
may	1
have	1
saved	1
europe	3
domination	1
s	2
current	1
horrible	1
situation	1
islam	1
it	2
is	3
more	1
poignant	1
than	1
ever	1
me	1
owe	1
considerable	1
amount	1
ability	1
unite	1
many	1
different	1
europeans	1
ages	1
in	2
defense	1
now	1
an	1
important	2
part	1
history	3
or	1
also	1
think	2
illustrator	1
was	1
quite	1
democratic	1
including	1
symbolism	1
for	1
both	1
ancient	1
ways	1
long	1
some	1
guy	1
got	1
crucified	1
middle	1
east	1
anyways	1
don	1
mean	1
make	1
this	1
religious	1
discussion	1
just	1
want	1
