quote	1
originally	1
posted	1
by	1
x311inaz	1
speaking	1
of	6
interlibrary	2
loans	1
i	6
just	1
recently	1
had	1
my	4
library	3
order	1
both	2
awakening	2
and	3
jewish	2
supremacism	2
not	1
because	1
needed	1
to	3
read	1
them	5
again	2
already	1
having	2
owned	1
a	2
number	1
copies	1
each	2
gave	1
most	1
away	1
last	2
christmas	1
as	1
gifts	1
rather	1
figure	1
if	2
enough	1
interest	1
is	1
displayed	1
in	4
titles	1
perhaps	1
the	4
local	2
would	1
consider	1
house	1
previously	1
they	5
did	2
have	4
but	1
sometime	1
past	1
two	1
years	1
since	1
checked	1
removed	1
it	1
from	1
their	1
shelves	1
never	1
on	1
shelf	1
wonder	1
what	1
group	1
supremacist	1
minded	1
folks	1
are	1
responsible	1
for	2
that	2
oversight	1
non	1
obtaining	1
copy	1
sure	1
wasn	1
t	2
us	1
mean	1
old	1
white	1
supremacists	1
lol	1
encourage	1
everyone	1
fellow	1
wns	1
check	1
your	1
duke	1
s	1
books	1
don	1
request	1
obtain	1
through	1
loan	1
program	1
k	1
excellent	1
suggestion	1
spread	1
some	1
reps	1
first	1
