the	27
nsdap	1
produced	1
a	5
weekly	3
poster	1
with	2
quotation	1
that	4
could	1
be	7
displayed	1
in	6
party	1
offices	2
public	1
buildings	1
etc	1
they	2
were	5
published	4
large	1
editions	1
averaging	1
450	2
000	2
during	2
early	2
war	2
years	3
and	9
part	1
of	7
visual	1
face	1
third	1
reich	2
leading	1
artists	1
such	1
as	6
hoyer	1
frequently	1
did	1
design	1
first	1
appeared	2
1937	3
before	3
january	1
1939	1
issues	3
both	1
by	6
reichspropagandaleitung	1
individual	1
gaue	1
after	1
exception	1
gau	2
sachsen	2
which	1
its	4
own	5
into	2
1941	2
all	2
came	1
from	3
munich	2
my	3
incomplete	1
collection	1
runs	1
to	14
spring	1
1944	3
about	2
copies	1
printed	1
each	1
week	1
somewhere	1
around	1
1100	1
between	1
exact	1
number	1
is	13
hard	1
determine	1
since	1
it	4
unclear	1
how	1
many	1
issued	3
various	1
propaganda	1
some	1
them	3
for	3
two	1
others	1
may	1
have	2
only	3
few	1
using	1
those	1
great	3
cause	1
not	8
won	1
half	1
measures	1
greatest	1
prize	1
demands	1
highest	1
effort	1
theodor	1
fontane	1
long	2
an	2
enemy	1
stands	1
on	2
germany	2
s	2
soil	1
hate	1
duty	1
virtue	1
vengeance	1
heinrich	2
von	5
kleist	1
general	1
thinking	1
together	2
always	1
necessary	2
chattering	1
gottfried	1
keller	1
salvation	1
heil	1
does	4
fall	1
heaven	1
must	2
seized	1
joseph	3
eichendorff	2
he	5
who	3
wants	2
fight	1
devil	1
should	1
stand	2
his	3
feet	1
grit	1
teeth	1
hide	1
under	1
robe	1
holiest	1
angel	1
wilhelm	1
raabe	1
i	6
breathe	1
will	3
give	2
up	1
god	2
gives	1
us	2
nuts	1
but	2
crack	1
goethe	3
man	1
so	1
we	1
belong	1
generation	1
strives	1
rise	1
darkness	1
light	1
if	2
you	4
never	3
risk	1
life	2
win	1
schiller	1
want	2
seize	1
fate	1
throat	1
bend	1
beethoven	1
german	1
means	1
do	1
something	2
sake	1
richard	3
wagner	3
when	1
create	1
am	1
completely	2
myself	1
most	1
transforming	1
deed	1
shows	1
world	1
what	3
important	1
subordinates	1
ordinary	1
interests	1
where	1
strong	1
hearts	1
are	2
ulrich	1
hutten	1
paradise	1
lies	1
shadow	1
sword	1
friedrich	2
nietzsche	2
cannot	1
overcome	1
person	1
inspired	1
idea	1
accomplish	1
gneisenau	1
remains	1
uninvolved	1
dispassionate	1
at	1
times	1
patriotic	1
battles	1
deserve	1
experience	1
treitschke	1
whatever	1
courage	1
albert	1
leo	1
schlageter	1
farmers	1
soldiers	1
hand	2
people	2
daily	1
bread	1
protect	1
freedom	1
goebbels	1
there	1
no	1
socialism	1
apply	1
one	1
adolf	1
hitler	1
see	1
düsseldorf	1
essen	1
köln	1
aachen	1
schleswig	1
holstein	1
südhannover	1
braunschweig	1
weser	1
ems	1
westphalen	1
süd	1
scattered	1
national	2
1942	1
