this	2
is	3
sort	1
of	4
in	1
the	8
vein	1
whatcha	1
reading	1
thread	1
post	1
what	1
game	3
you	3
are	3
currently	1
playing	3
or	1
just	2
finished	1
your	2
thoughts	1
on	4
welcome	1
and	1
encouraged	1
no	1
point	1
posting	1
a	1
without	1
giving	1
us	1
opinion	1
it	6
preferably	1
keep	1
to	1
actual	1
games	4
not	1
things	1
like	2
farmville	1
let	1
s	1
get	1
started	1
then	1
at	1
moment	1
i	5
am	1
through	1
metal	2
gear	2
solid	2
3	1
snake	1
eater	1
which	2
recently	1
got	2
as	3
part	1
hd	1
collection	1
xbox	1
360	1
still	2
good	2
was	1
back	1
when	1
played	2
7	1
years	1
ago	1
ps2	1
if	1
stealth	1
will	1
love	1
mainly	1
for	1
mgs3	1
one	1
best	1
have	1
ever	1
but	1
other	1
two	1
pretty	1
too	1
