a	1
long	1
delayed	1
biopic	1
chronicling	1
the	13
plane	2
crash	3
which	1
killed	1
several	1
of	5
original	1
members	1
lynyrd	3
skynyrd	3
including	1
founder	1
and	2
frontman	1
ronnie	1
van	1
zant	1
is	1
set	1
to	1
premiere	1
on	1
feb	1
16	1
in	2
hollywood	1
street	2
survivors	3
true	1
story	2
tells	1
ill	1
fated	1
flight	1
through	1
eyes	1
bandâ	1
s	1
former	1
drummer	1
artimus	1
pyle	1
musician	1
survived	1
tragedy	1
helped	1
pull	1
fellow	1
from	1
wreckage	1
moments	1
following	1
film	1
release	1
date	1
announced	1
